dataset;accuracy;precision;f1/dice;jaccard;sensitivity/recall;specificity
239_ORCA512_512x512_Epoch-400_Images-100_Batch-1_SmoothL1Loss_Adam_elastic_transformation;0,8512583160400391;0,7020046230074866;0,705899538316006;0,5712206984241746;0,7558248689656246;0,8909462013005114
240_ORCA512_512x512_Epoch-400_Images-100_Batch-1_SmoothL1Loss_Adam_grid_distortion;0,8690915679931641;0,7409922993652058;0,720465719444428;0,5892136768746827;0,7416471715721815;0,9138847969389563
241_ORCA512_512x512_Epoch-400_Images-100_Batch-1_SmoothL1Loss_Adam_optical_distortion;0,8639064407348633;0,7211080691560595;0,7286719397909031;0,5971465509762477;0,7769363853571142;0,8980132621163637
242_ORCA512_512x512_Epoch-400_Images-100_Batch-1_SmoothL1Loss_Adam_color_transfer;0,8389958953857422;0,6609089813248684;0,7169011441592454;0,5834509246113893;0,8551496981611539;0,8481135597381556
243_ORCA512_512x512_Epoch-400_Images-100_Batch-1_SmoothL1Loss_Adam_inpainting;0,8499553680419922;0,6761671129711745;0,7276449755954907;0,5974327523063888;0,8418582944553935;0,8580380929744587
244_ORCA512_512x512_Epoch-400_Images-100_Batch-1_SmoothL1Loss_Adam_Downscale;0,791884880065918;0,5821300762736387;0,6593310236450953;0,5149142842323474;0,8254624369638995;0,7878701377263705
245_ORCA512_512x512_Epoch-400_Images-100_Batch-1_SmoothL1Loss_Adam_HueSaturationValue;0,8491606521606445;0,6874037603849473;0,7269306156128953;0,5947836892589687;0,8294227649151528;0,8696308021443904
246_ORCA512_512x512_Epoch-400_Images-100_Batch-1_SmoothL1Loss_Adam_ISONoise;0,8538856887817383;0,680976740497469;0,7330668309602167;0,6026762733503445;0,8478385127938164;0,865691512143422
247_ORCA512_512x512_Epoch-400_Images-100_Batch-1_SmoothL1Loss_Adam_MultiplicativeNoise;0,8460760116577148;0,6683870734653853;0,7240224127728591;0,5924270592614277;0,8481169209068606;0,8555211498294257
248_ORCA512_512x512_Epoch-400_Images-100_Batch-1_SmoothL1Loss_Adam_RandomGravel;0,8563945007324218;0,692566300332414;0,7333906987671603;0,6024641744043252;0,8355061068220857;0,8750330335266975
249_ORCA512_512x512_Epoch-400_Images-100_Batch-1_SmoothL1Loss_Adam_RingingOvershoot;0,8342492294311523;0,6670378886012525;0,6850158239432952;0,5468962660243487;0,7551073231997194;0,8716907295771802
250_ORCA512_512x512_Epoch-400_Images-100_Batch-1_SmoothL1Loss_Adam_Sharpen;0,8237620925903321;0,629587681606342;0,6971049308652246;0,5615271279975698;0,8410544161148914;0,8256649094498999
251_ORCA512_512x512_Epoch-400_Images-100_Batch-1_SmoothL1Loss_Adam_Blur;0,8359986877441407;0,6585281914486067;0,7031222038899071;0,5655519300823396;0,8096483534818734;0,8561585101149676
252_ORCA512_512x512_Epoch-400_Images-100_Batch-1_SmoothL1Loss_Adam_Defocus;0,7837060546875;0,585965233345158;0,5932218395351265;0,4458766702371964;0,6514551688603999;0,8415466270859588
