model,augmentation,phase,epoch,loss,accuracy,TP,TN,FP,FN,date,time,transformations
OCDC__Size-640x640_Epoch-18_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,18,0.30536586956755596,0.8651106625511551,38515835,259137600,27407284,19003281,2024-10-12 16:49:19.593119,20113.91594839096,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-18_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,18,0.34961731271415475,0.8528944634331594,111935,62770268,10818960,26837,2024-10-12 16:49:19.593148,20113.91594839096,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-19_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,19,0.29743468771201237,0.872102268763951,40616107,259442888,25222604,18782401,2024-10-12 17:08:11.960759,21246.28358912468,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-19_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,19,0.36499994308135986,0.8524944661458331,168125,62684587,10762770,112518,2024-10-12 17:08:11.960789,21246.28358912468,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-20_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,20,0.2876113547299579,0.8760223068963915,41119154,260288585,24727208,17929053,2024-10-12 17:27:03.026638,22377.349466323853,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-20_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,20,0.33228391134010354,0.8575057644314239,875409,62346776,10055486,450329,2024-10-12 17:27:03.026668,22377.349466323853,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-21_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,21,0.3062359206057159,0.8731960710797998,41692466,258742867,24580611,19048056,2024-10-12 17:45:54.776592,23509.09942317009,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-21_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,21,0.4138409526830856,0.8519758707682297,93334,62721143,10837561,75962,2024-10-12 17:45:54.776623,23509.09942317009,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-22_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,22,0.28408731960873973,0.8806395757765996,42762356,260234019,23090892,17976733,2024-10-12 18:04:50.077691,24644.400521039963,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-22_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,22,0.36945283783392774,0.8543136257595484,220732,62766103,10710163,31002,2024-10-12 18:04:50.077723,24644.400521039963,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-23_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,23,0.28189291934005656,0.8876483968098962,43876868,261530990,21702504,16953638,2024-10-12 18:23:46.150587,25780.47341823578,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-23_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,23,0.35877063170400003,0.8542072075737849,357564,62621425,10573331,175680,2024-10-12 18:23:46.150617,25780.47341823578,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-24_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,24,0.28173127997283537,0.880266122000559,43524366,259343517,22119657,19076460,2024-10-12 18:42:37.991913,26912.314742565155,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-24_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,24,0.32998479463144575,0.8571246609157983,562542,62631545,10368353,165560,2024-10-12 18:42:37.991943,26912.314742565155,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-25_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,25,0.2854920492112017,0.8856422700427836,43356467,261361155,22397963,16948415,2024-10-12 19:01:29.152201,28043.475031375885,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-25_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,25,0.35114676117518684,0.8534121636284724,283226,62637146,10647669,159959,2024-10-12 19:01:29.152233,28043.475031375885,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
