model,augmentation,phase,epoch,loss,accuracy,TP,TN,FP,FN,date,time,transformations
ORCA__Size-640x640_Epoch-29_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,29,0.26427850220747795,0.8884422228160134,623983472,897507240,87957113,103089775,2024-10-20 04:12:18.647667,208059.8328988552,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-29_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,29,0.33370032205826883,0.8549275826928976,648331737,920817395,107248651,159019817,2024-10-20 04:12:18.647699,208059.8328988552,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-30_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,30,0.261815470852839,0.8904753046006116,623040826,901931615,87154993,100410166,2024-10-20 06:12:18.653164,215259.83839678764,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-30_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,30,0.33503082428467135,0.8584240169648567,650751906,924814643,104828482,155022569,2024-10-20 06:12:18.653196,215259.83839678764,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-31_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,31,0.25674281993787756,0.8905780392792542,624170122,900978256,85503368,101885854,2024-10-20 08:12:38.390035,222479.5752670765,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-31_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,31,0.3373134619078548,0.8581261196362081,649719802,925299981,105860586,154537231,2024-10-20 08:12:38.390067,222479.5752670765,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-32_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,32,0.2581646180567121,0.8920204823532072,621899929,905718687,86469363,98449621,2024-10-20 10:12:48.902754,229690.0879855156,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-32_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,32,0.3436965658081061,0.8535216350763999,647604924,918963707,107975464,160873505,2024-10-20 10:12:48.902787,229690.0879855156,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-33_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,33,0.2540524533491593,0.8926782979830635,627485915,901259235,83552676,100239774,2024-10-20 12:13:02.997256,236904.1824862957,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-33_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,33,0.34773706457116454,0.857714730424292,639328825,934935887,116251563,144901325,2024-10-20 12:13:02.997293,236904.1824862957,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-34_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,34,0.2595981665119227,0.890416038748578,625805541,899065405,86283449,101383205,2024-10-20 14:13:21.353158,244122.53838968277,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-34_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,34,0.34713094698710384,0.852147783697836,658454636,905592404,97125752,174244808,2024-10-20 14:13:21.353190,244122.53838968277,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
